"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Getulio Vargas";"RS";0;0.746;0.747;0.843;0.658;16240;502786;"Sul"
"Gilbues";"PI";0;0.548;0.574;0.753;0.38;10686;113644;"Nordeste"
"Girau Do Ponciano";"AL";0;0.536;0.498;0.762;0.405;40588;288286;"Nordeste"
"Girua";"RS";0;0.721;0.707;0.842;0.629;16151;726798;"Sul"
"Glaucilandia";"MG";0;0.679;0.579;0.812;0.667;3136;26200;"Norte"
"Glicerio";"SP";0;0.735;0.735;0.858;0.63;4801;101973;"Norte"
"Glorinha";"RS";0;0.714;0.716;0.859;0.593;7988;360371;"Sul"
"Gloria";"BA";0;0.593;0.563;0.775;0.479;15208;167411;"Nordeste"
"Gloria D'Oeste";"MT";0;0.71;0.684;0.823;0.636;3045;70895;"Centro-Oeste"
"Gloria De Dourados";"MS";0;0.721;0.705;0.822;0.648;9981;173108;"Centro-Oeste"
"Gloria Do Goita";"PE";0;0.604;0.57;0.765;0.506;30504;407614;"Nordeste"
"Godofredo Viana";"MA";0;0.604;0.537;0.75;0.546;11672;69295;"Nordeste"
"Godoy Moreira";"PR";0;0.675;0.642;0.828;0.578;2996;43707;"Sul"
"Goiabeira";"MG";0;0.647;0.628;0.799;0.539;3328;32874;"Norte"
"Goiana";"PE";0;0.651;0.614;0.779;0.576;79455;5152498;"Nordeste"
"Goiandira";"GO";0;0.76;0.711;0.849;0.727;5574;112241;"Centro-Oeste"
"Goianinha";"RN";0;0.638;0.619;0.783;0.537;25980;319374;"Nordeste"
"Goianira";"GO";0;0.694;0.674;0.831;0.596;43260;792269;"Centro-Oeste"
"Goianorte";"TO";0;0.621;0.598;0.805;0.497;5116;65716;"Norte"
"Goiana";"MG";0;0.716;0.682;0.835;0.644;3940;57838;"Norte"
"Goianapolis";"GO";0;0.703;0.678;0.825;0.62;11239;168466;"Centro-Oeste"
"Goianesia";"GO";0;0.727;0.719;0.84;0.636;69072;1241028;"Centro-Oeste"
"Goianesia Do Para";"PA";0;0.56;0.585;0.743;0.404;39857;373793;"Norte"
"Goiatins";"TO";0;0.576;0.541;0.765;0.462;12942;149238;"Norte"
"Goiatuba";"GO";0;0.725;0.737;0.825;0.627;33986;1470765;"Centro-Oeste"
"Goioere";"PR";0;0.731;0.72;0.85;0.639;28962;775187;"Sul"
"Goioxim";"PR";0;0.641;0.593;0.813;0.547;7170;164999;"Sul"
"Goias";"GO";0;0.709;0.713;0.805;0.621;22916;410958;"Centro-Oeste"
"Goiania";"GO";1;0.799;0.824;0.838;0.739;1495705;46659223;"Centro-Oeste"
"Gongogi";"BA";0;0.576;0.543;0.773;0.456;7276;64370;"Nordeste"
"Gonzaga";"MG";0;0.606;0.558;0.774;0.516;6145;45931;"Norte"
"Goncalves";"MG";0;0.683;0.671;0.833;0.57;4345;57132;"Norte"
"Goncalves Dias";"MA";0;0.568;0.542;0.758;0.445;17924;110768;"Nordeste"
"Gouveia";"MG";0;0.681;0.622;0.833;0.609;11833;137727;"Norte"
"Gouvelandia";"GO";0;0.674;0.68;0.806;0.559;5806;187758;"Centro-Oeste"
"Governador Archer";"MA";0;0.565;0.545;0.687;0.481;10793;71562;"Nordeste"
"Governador Celso Ramos";"SC";0;0.747;0.737;0.87;0.651;14333;267700;"Sul"
