date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-21,SC,Governador Celso Ramos,city,2929,32,True,14606,4206009,20053.40271,0.0109
2021-12-21,SC,Grão Pará,city,1512,14,True,6595,4206108,22926.45944,0.0093
2021-12-21,SC,Gravatal,city,2276,50,True,11577,4206207,19659.67004,0.022
2021-12-21,SC,Guabiruba,city,4089,49,True,24382,4206306,16770.56845,0.012
2021-12-21,SC,Guaraciaba,city,2098,31,True,10026,4206405,20925.59346,0.0148
2021-12-21,SC,Guaramirim,city,8135,103,True,45797,4206504,17763.17226,0.0127
2021-12-21,SC,Guarujá do Sul,city,589,11,True,5178,4206603,11375.04828,0.0187
2021-12-21,SC,Guatambú,city,882,20,True,4698,4206652,18773.94636,0.0227
2021-12-21,SC,Herval d'Oeste,city,4710,66,True,22714,4206702,20736.10989,0.014
2021-12-21,SC,Ibiam,city,268,4,True,1954,4206751,13715.45548,0.0149
2021-12-21,SC,Ibicaré,city,547,9,True,3178,4206801,17212.08307,0.0165
2021-12-21,SC,Ibirama,city,1944,38,True,19096,4206900,10180.14244,0.0195
2021-12-21,SC,Içara,city,8123,138,True,57247,4207007,14189.38984,0.017
2021-12-21,SC,Ilhota,city,2151,39,True,14359,4207106,14980.15182,0.0181
2021-12-21,SC,Imaruí,city,1060,23,True,9948,4207205,10655.40812,0.0217
2021-12-21,SC,Imbituba,city,7154,115,True,45286,4207304,15797.37667,0.0161
2021-12-21,SC,Imbuia,city,699,11,True,6241,4207403,11200.12818,0.0157
2021-12-21,SC,Importados/Indefinidos,city,0,0,True,,,,0.0
2021-12-21,SC,Indaial,city,11185,140,True,70900,4207502,15775.74048,0.0125
2021-12-21,SC,Iomerê,city,341,10,True,2962,4207577,11512.49156,0.0293
2021-12-21,SC,Ipira,city,487,7,True,4406,4207601,11053.1094,0.0144
2021-12-21,SC,Iporã do Oeste,city,863,16,True,9045,4207650,9541.18297,0.0185
2021-12-21,SC,Ipuaçu,city,1168,17,True,7579,4207684,15411.00409,0.0146
2021-12-21,SC,Ipumirim,city,886,10,True,7620,4207700,11627.29659,0.0113
2021-12-21,SC,Iraceminha,city,550,4,True,3938,4207759,13966.48045,0.0073
2021-12-21,SC,Irani,city,1729,20,True,10498,4207809,16469.80377,0.0116
2021-12-21,SC,Irati,city,318,8,True,1909,4207858,16657.93609,0.0252
