Açude,Data do registro,Volume (%),Volume (m³),Afluência/Defluência (m²),data
Epitácio Pessoa,18/09/1967,97.6,522.623.696,-183.892,1967-09-18
Epitácio Pessoa,19/09/1967,97.5,522.439.804,-183.892,1967-09-19
Epitácio Pessoa,20/09/1967,97.5,522.255.913,-183.891,1967-09-20
Epitácio Pessoa,21/09/1967,97.5,522.255.913,0,1967-09-21
Epitácio Pessoa,22/09/1967,97.5,522.072.021,-183.892,1967-09-22
Epitácio Pessoa,23/09/1967,97.4,521.888.130,-183.891,1967-09-23
Epitácio Pessoa,24/09/1967,97.4,521.704.238,-183.892,1967-09-24
Epitácio Pessoa,25/09/1967,97.4,521.520.346,-183.892,1967-09-25
Epitácio Pessoa,26/09/1967,97.3,521.336.455,-183.891,1967-09-26
Epitácio Pessoa,27/09/1967,97.3,520.968.672,-367.783,1967-09-27
Epitácio Pessoa,28/09/1967,97.2,520.784.780,-183.892,1967-09-28
Epitácio Pessoa,29/09/1967,97.2,520.600.888,-183.892,1967-09-29
Epitácio Pessoa,01/10/1967,97.2,520.600.888,0,1967-10-01
Epitácio Pessoa,02/10/1967,97.2,520.600.888,0,1967-10-02
Epitácio Pessoa,03/10/1967,97.2,520.416.997,-183.891,1967-10-03
Epitácio Pessoa,04/10/1967,97.2,520.416.997,0,1967-10-04
Epitácio Pessoa,05/10/1967,97.1,520.233.105,-183.892,1967-10-05
Epitácio Pessoa,06/10/1967,97.1,520.233.105,0,1967-10-06
Epitácio Pessoa,07/10/1967,97.1,520.049.214,-183.891,1967-10-07
Epitácio Pessoa,08/10/1967,97.0,519.865.322,-183.892,1967-10-08
Epitácio Pessoa,09/10/1967,97.0,519.681.430,-183.892,1967-10-09
Epitácio Pessoa,10/10/1967,97.0,519.497.539,-183.891,1967-10-10
Epitácio Pessoa,11/10/1967,97.0,519.497.539,0,1967-10-11
Epitácio Pessoa,12/10/1967,96.9,519.313.647,-183.892,1967-10-12
Epitácio Pessoa,13/10/1967,96.9,519.313.647,0,1967-10-13
Epitácio Pessoa,14/10/1967,96.9,519.129.756,-183.891,1967-10-14
Epitácio Pessoa,15/10/1967,96.9,519.129.756,0,1967-10-15
Epitácio Pessoa,16/10/1967,96.9,518.945.864,-183.892,1967-10-16
Epitácio Pessoa,17/10/1967,96.9,518.945.864,0,1967-10-17
Epitácio Pessoa,18/10/1967,96.8,518.761.972,-183.892,1967-10-18
Epitácio Pessoa,19/10/1967,96.8,518.578.081,-183.891,1967-10-19
Epitácio Pessoa,20/10/1967,96.8,518.578.081,0,1967-10-20
Epitácio Pessoa,21/10/1967,96.8,518.394.189,-183.892,1967-10-21
Epitácio Pessoa,22/10/1967,96.7,518.210.298,-183.891,1967-10-22
Epitácio Pessoa,23/10/1967,96.7,518.026.406,-183.892,1967-10-23
Epitácio Pessoa,24/10/1967,96.7,517.842.514,-183.892,1967-10-24
Epitácio Pessoa,25/10/1967,96.7,517.842.514,0,1967-10-25
Epitácio Pessoa,26/10/1967,96.6,517.658.623,-183.891,1967-10-26
Epitácio Pessoa,27/10/1967,96.6,517.658.623,0,1967-10-27
Epitácio Pessoa,28/10/1967,96.6,517.474.731,-183.892,1967-10-28
Epitácio Pessoa,29/10/1967,96.6,517.474.731,0,1967-10-29
Epitácio Pessoa,30/10/1967,96.6,517.290.840,-183.891,1967-10-30
Epitácio Pessoa,31/10/1967,96.6,517.290.840,0,1967-10-31
Epitácio Pessoa,01/11/1967,96.6,517.290.840,0,1967-11-01
Epitácio Pessoa,02/11/1967,96.5,516.923.056,-367.784,1967-11-02
Epitácio Pessoa,03/11/1967,96.5,516.739.165,-183.891,1967-11-03
Epitácio Pessoa,04/11/1967,96.6,517.474.731,735.566,1967-11-04
Epitácio Pessoa,05/11/1967,96.4,516.187.490,-1.287.241,1967-11-05
Epitácio Pessoa,06/11/1967,96.3,516.003.598,-183.892,1967-11-06
Epitácio Pessoa,07/11/1967,96.3,515.819.707,-183.891,1967-11-07
Epitácio Pessoa,08/11/1967,96.3,515.635.815,-183.892,1967-11-08
Epitácio Pessoa,09/11/1967,92.4,494.960.861,-20.674.954,1967-11-09
Epitácio Pessoa,10/11/1967,96.2,515.268.032,20.307.171,1967-11-10
Epitácio Pessoa,11/11/1967,96.2,515.084.140,-183.892,1967-11-11
Epitácio Pessoa,12/11/1967,96.1,514.900.249,-183.891,1967-11-12
Epitácio Pessoa,13/11/1967,96.1,514.716.357,-183.892,1967-11-13
Epitácio Pessoa,14/11/1967,96.1,514.532.465,-183.892,1967-11-14
Epitácio Pessoa,15/11/1967,96.0,514.348.574,-183.891,1967-11-15
Epitácio Pessoa,16/11/1967,96.0,514.164.682,-183.892,1967-11-16
Epitácio Pessoa,17/11/1967,95.9,513.980.791,-183.891,1967-11-17
Epitácio Pessoa,18/11/1967,95.9,513.796.899,-183.892,1967-11-18
Epitácio Pessoa,19/11/1967,95.8,513.429.116,-367.783,1967-11-19
Epitácio Pessoa,20/11/1967,95.8,513.245.224,-183.892,1967-11-20
Epitácio Pessoa,21/11/1967,95.8,513.061.333,-183.891,1967-11-21
Epitácio Pessoa,22/11/1967,95.7,512.877.441,-183.892,1967-11-22
Epitácio Pessoa,23/11/1967,95.7,512.693.549,-183.892,1967-11-23
Epitácio Pessoa,24/11/1967,95.7,512.509.658,-183.891,1967-11-24
Epitácio Pessoa,25/11/1967,95.6,512.325.766,-183.892,1967-11-25
Epitácio Pessoa,26/11/1967,95.6,512.141.875,-183.891,1967-11-26
Epitácio Pessoa,27/11/1967,95.6,511.957.983,-183.892,1967-11-27
Epitácio Pessoa,28/11/1967,95.5,511.774.091,-183.892,1967-11-28
Epitácio Pessoa,29/11/1967,95.5,511.590.200,-183.891,1967-11-29
Epitácio Pessoa,30/11/1967,95.5,511.406.308,-183.892,1967-11-30
Epitácio Pessoa,01/12/1967,95.5,511.406.308,0,1967-12-01
Epitácio Pessoa,02/12/1967,95.4,511.222.417,-183.891,1967-12-02
Epitácio Pessoa,03/12/1967,95.4,511.038.525,-183.892,1967-12-03
Epitácio Pessoa,04/12/1967,95.4,510.854.633,-183.892,1967-12-04
Epitácio Pessoa,05/12/1967,95.3,510.670.742,-183.891,1967-12-05
Epitácio Pessoa,06/12/1967,95.3,510.486.850,-183.892,1967-12-06
Epitácio Pessoa,07/12/1967,95.3,510.302.959,-183.891,1967-12-07
Epitácio Pessoa,08/12/1967,95.2,510.119.067,-183.892,1967-12-08
Epitácio Pessoa,09/12/1967,95.2,509.935.175,-183.892,1967-12-09
Epitácio Pessoa,10/12/1967,95.2,509.751.284,-183.891,1967-12-10
Epitácio Pessoa,11/12/1967,95.1,509.567.392,-183.892,1967-12-11
Epitácio Pessoa,12/12/1967,95.1,509.383.500,-183.892,1967-12-12
Epitácio Pessoa,13/12/1967,95.1,509.199.609,-183.891,1967-12-13
Epitácio Pessoa,14/12/1967,95.0,509.015.717,-183.892,1967-12-14
Epitácio Pessoa,15/12/1967,95.0,508.831.826,-183.891,1967-12-15
Epitácio Pessoa,16/12/1967,95.0,508.647.934,-183.892,1967-12-16
Epitácio Pessoa,17/12/1967,94.9,508.464.042,-183.892,1967-12-17
Epitácio Pessoa,18/12/1967,94.9,508.280.151,-183.891,1967-12-18
Epitácio Pessoa,19/12/1967,94.9,508.096.259,-183.892,1967-12-19
Epitácio Pessoa,20/12/1967,94.8,507.912.368,-183.891,1967-12-20
Epitácio Pessoa,21/12/1967,94.8,507.728.476,-183.892,1967-12-21
Epitácio Pessoa,22/12/1967,94.7,507.544.584,-183.892,1967-12-22
